t(s) 	 theta(deg.) 	 omega (rds/s) 
7.52	-139.277652069	-5.18944570714
7.53	-142.046377403	-4.83233731598
7.54	-144.623060321	-4.49716006966
7.55	-147.019798291	-4.18309688902
7.56	-149.248171106	-3.88924425782
7.57	-151.319209793	-3.61464440214
7.58	-153.243380241	-3.35831096909
7.59	-155.030578387	-3.11924920288
7.6	-156.690134327	-2.89647152757
7.61	-158.230823191	-2.68900934201
7.62	-159.660880999	-2.49592172547
7.63	-160.988024086	-2.31630165019
7.64	-162.219470931	-2.14928020204
7.65	-163.36196552	-1.99402922677
7.66	-164.421801504	-1.84976274513
7.67	-165.404846632	-1.71573741776
7.68	-166.316567034	-1.59125228707
7.69	-167.162051047	-1.47564797888
7.7	-167.946032355	-1.36830550994
7.71	-168.672912292	-1.26864481688
7.72	-169.346781189	-1.17612309766
7.73	-169.971438705	-1.09023303641
7.74	-170.550413111	-1.01050096654
7.75	-171.0869795	-0.93648501396
7.76	-171.584176949	-0.867773251849
7.77	-172.04482464	-0.803981890418
7.78	-172.471536974	-0.744753518414
7.79	-172.866737712	-0.689755408159
7.8	-173.232673188	-0.63867789189
7.81	-173.571424638	-0.59123281412
7.82	-173.884919677	-0.547152062373
7.83	-174.174942993	-0.506186176845
7.84	-174.443146278	-0.468103038218
7.85	-174.691057456	-0.432686631836
7.86	-174.920089248	-0.399735885779
7.87	-175.131547103	-0.369063579816
7.88	-175.326636552	-0.340495321948
7.89	-175.506470007	-0.313868589014
7.9	-175.672073045	-0.289031827725
7.91	-175.824390216	-0.265843612498
7.92	-175.964290384	-0.244171856443
7.93	-176.092571665	-0.22389307195
7.94	-176.209965949	-0.204891677413
7.95	-176.317143059	-0.187059346714
7.96	-176.414714562	-0.170294398255
7.97	-176.503237241	-0.154501220411
7.98	-176.583216265	-0.139589730447
7.99	-176.655108067	-0.125474864037
8.0	-176.719322938	-0.112076092678
8.01	-176.776227368	-0.0993169663819
8.02	-176.826146132	-0.0871246791839
8.03	-176.869364141	-0.0754296550589
8.04	-176.906128065	-0.0641651519789
8.05	-176.93664774	-0.0532668819079
8.06	-176.961097364	-0.0426726446175
8.07	-176.979616491	-0.032321973274
8.08	-176.992310823	-0.0221557898087
8.09	-176.999252819	-0.012116068131
8.1	-177.000482102	-0.00214550328649
8.11	-176.996005688	0.00781281530807
8.12	-176.985798028	0.0178157284003
8.13	-176.969800856	0.0279203310424
8.14	-176.947922865	0.0381842981692
8.15	-176.920039179	0.0486662134558
8.16	-176.885990644	0.0594259033101
8.17	-176.845582923	0.0705247778869
8.18	-176.798585383	0.0820261810425
8.19	-176.744729785	0.0939957511972
8.2	-176.683708751	0.106501795127
8.21	-176.615174017	0.119615676772
8.22	-176.538734443	0.133412223222
8.23	-176.453953793	0.14797015013
8.24	-176.36034824	0.163372508882
8.25	-176.257383623	0.179707157974
8.26	-176.1444724	0.197067261142
8.27	-176.020970307	0.215551814914
8.28	-175.886172699	0.235266208371
8.29	-175.739310542	0.256322818043
8.3	-175.57954605	0.278841640988
8.31	-175.405967931	0.302950969227
8.32	-175.217586221	0.328788108854
8.33	-175.013326683	0.356500147232
8.34	-174.79202473	0.386244771804
8.35	-174.552418854	0.418191144129
8.36	-174.293143516	0.452520832775
8.37	-174.012721464	0.489428808729
8.38	-173.709555454	0.529124506873
8.39	-173.381919303	0.571832956979
8.4	-173.027948277	0.617795987331
8.41	-172.645628721	0.667273503731
8.42	-172.232786935	0.720544845985
8.43	-171.787077209	0.777910223127
8.44	-171.305969002	0.839692227444
8.45	-170.786733204	0.906237425789
8.46	-170.226427449	0.977918024564
8.47	-169.621880427	1.05513360201
8.48	-168.969675179	1.13831289788
8.49	-168.266131338	1.22791564605
8.5	-167.507286307	1.3244344296
8.51	-166.68887538	1.42839653083
8.52	-165.806310823	1.54036573888
8.53	-164.854659973	1.66094406624
8.54	-163.828622445	1.7907733105
8.55	-162.722506578	1.93053637955
8.56	-161.530205312	2.08095827585
8.57	-160.245171783	2.24280660748
8.58	-158.860394981	2.41689146006
8.59	-157.368375972	2.60406442233
8.6	-155.761105306	2.80521650878
8.61	-154.030042436	3.02127466438
8.62	-152.166098161	3.25319646693
8.63	-150.159621412	3.50196256351
8.64	-148.000391981	3.76856628681
8.65	-145.677621196	4.0539997977
8.66	-143.179962952	4.35923599486
8.67	-140.495538038	4.68520532588
8.68	-137.61197522	5.03276653719
8.69	-134.516473142	5.40267032689
8.7	-131.195887739	5.79551483635
8.71	-127.636850408	6.21169196376
8.72	-123.825922677	6.65132364621
8.73	-119.749793443	7.11418758705
8.74	-115.395524782	7.59963246449
8.75	-110.750851862	8.10648351352
8.76	-105.804541255	8.63294059173
8.77	-100.546809822	9.1764724697
8.78	-94.969803005	9.73371313546
8.79	-89.0681266928	10.3003683036
8.8	-82.8394206302	10.8711428931
8.81	-76.2849538206	11.439702654
8.82	-69.4102137943	11.9986848676
8.83	-62.2254528417	12.5397734592
8.84	-54.7461464843	13.0538521703
8.85	-46.9933142056	13.5312449618
8.86	-38.9936515887	13.9620451713
8.87	-30.7794282169	14.3365243332
8.88	-22.3881180827	14.6455990398
8.89	-13.8617488061	14.8813217117
8.9	-5.24598117557	15.0373512739
8.91	3.41104168582	15.1093552352
8.92	12.0600100943	15.095297563
8.93	20.6518431672	14.9955775903
8.94	29.1390684706	14.8130025903
8.95	37.4770926346	14.5525974772
8.96	45.6252831301	14.2212752227
8.97	53.5478038223	13.8274071136
8.98	61.2141740894	13.3803402839
8.99	68.5995486725	12.8899102968
9.0	75.6847390516	12.3659900245
9.01	82.4560144575	11.8181050393
9.02	88.9047306122	11.2551329425
9.03	95.026837357	10.6850919856
9.04	100.822313831	10.1150146189
9.05	106.29457357	9.55089499657
9.06	111.449873611	8.99769596489
9.07	116.296752861	8.45940013689
9.08	120.845516698	7.93909058441
9.09	125.107777645	7.43904871054
9.1	129.096056287	6.96085937863
9.11	132.823442345	6.50551592002
9.12	136.303312939	6.07351994243
9.13	139.549103251	5.66497277624
9.14	142.574123821	5.27965688829
9.15	145.391418426	4.91710668719
9.16	148.013656546	4.57666889531
9.17	150.453054806	4.25755314033
9.18	152.721322346	3.95887368879
9.19	154.829625613	3.67968336418
9.2	156.788568722	3.41900071132
9.21	158.608186092	3.17583142273
9.22	160.297944604	2.94918495992
9.23	161.866753009	2.73808720083
9.24	163.322976719	2.54158983784
9.25	164.674456472	2.35877714688
9.26	165.928529678	2.18877065088
9.27	167.092053473	2.03073211453
9.28	168.171428742	1.88386523069
9.29	169.172624529	1.74741629345
9.3	170.101202386	1.62067409744
9.31	170.962340337	1.50296925603
9.32	171.7608562	1.39367309305
9.33	172.501230103	1.29219623016
9.34	173.187626074	1.19798696668
9.35	173.823912623	1.11052952721
9.36	174.413682281	1.02934223544
9.37	174.960270071	0.953975658913
9.38	175.466770926	0.884010758587
9.39	175.936056058	0.819057068334
9.4	176.370788313	0.758750922588
9.41	176.77343655	0.702753745099
9.42	177.146289068	0.650750407394
9.43	177.491466153	0.602447662368
9.44	177.810931752	0.557572655848
9.45	178.106504359	0.515871517101
9.46	178.379867123	0.477108027771
9.47	178.632577245	0.441062367703
9.48	178.866074698	0.407529935307
9.49	179.081690312	0.376320239574
9.5	179.280653265	0.347255860514
9.51	179.464098007	0.320171474503
9.52	179.633070675	0.294912940977
9.53	179.788535007	0.271336446786
9.54	179.9313778	0.249307704588
9.55	180.062413936	0.228701201706
9.56	180.18239101	0.209399495946
9.57	180.29199357	0.191292554988
9.58	180.391847014	0.174277136097
9.59	180.482521139	0.158256202998
9.6	180.564533388	0.143138376925
9.61	180.638351792	0.128837418955
9.62	180.704397634	0.115271740885
9.63	180.763047853	0.102363942012
9.64	180.814637184	0.0900403693154
9.65	180.859460073	0.0782306986289
9.66	180.897772348	0.0668675344904
9.67	180.929792682	0.0558860264612
9.68	180.955703839	0.0452234997723
9.69	180.975653713	0.0348190982351
9.7	180.989756174	0.0246134374137
9.71	180.998091716	0.0145482661068
9.72	181.000707918	0.00456613423397
9.73	180.997619713	-0.00538993475035
9.74	180.988809474	-0.015376768765
9.75	180.974226912	-0.0254513711701
9.76	180.953788794	-0.0356712458263
9.77	180.927378462	-0.0460947249854
9.78	180.894845172	-0.0567813018623
9.79	180.856003235	-0.0677919697666
9.8	180.810630953	-0.0791895697052
9.81	180.758469364	-0.091039148409
9.82	180.699220756	-0.103408328792
9.83	180.632546978	-0.116367694912
9.84	180.55806751	-0.129991193582
9.85	180.475357297	-0.14435655484
9.86	180.383944325	-0.159545733618
9.87	180.283306938	-0.175645375001
9.88	180.172870867	-0.192747305608
9.89	180.052005962	-0.210949053745
9.9	179.920022612	-0.23035440107
9.91	179.776167825	-0.251073968672
9.92	179.61962095	-0.273225840578
9.93	179.449489023	-0.296936227837
9.94	179.264801707	-0.322340176457
9.95	179.06450579	-0.34958232259
9.96	178.847459237	-0.378817698469
9.97	178.612424734	-0.410212592679
9.98	178.358062717	-0.44394546841
9.99	178.082923833	-0.480207943329
10.0	177.785440803	-0.519205834683
