t(s) 	 theta(deg.) 	 omega (rds/s) 
2.24	-119.865834885	7.10112051453
2.25	-115.519402264	7.5859559951
2.26	-110.882891459	8.09223793517
2.27	-105.945035273	8.61818484347
2.28	-100.696004439	9.16128706071
2.29	-95.1278843264	9.71820291037
2.3	-89.2352054624	10.284664794
2.31	-83.0155160186	10.8554059245
2.32	-76.4699769441	11.4241208169
2.33	-69.6039518578	11.983474428
2.34	-62.4275550361	12.5251752969
2.35	-54.9561129573	13.0401264147
2.36	-47.2104895198	13.5186631604
2.37	-39.21722403	13.9508800783
2.38	-31.0084360802	14.3270377322
2.39	-22.6214636199	14.6380283706
2.4	-14.0982198972	14.8758665911
2.41	-5.48428003489	15.0341612166
2.42	3.17226421898	15.1085199075
2.43	11.8221167906	15.0968407187
2.44	20.4161717058	14.9994554368
2.45	28.906894459	14.8191067918
2.46	37.2495967889	14.560762417
2.47	45.4035245488	14.2312886379
2.48	53.3327005817	13.8390228744
2.49	61.0064916189	13.393291971
2.5	68.3998956452	12.9039243189
2.51	75.4935699533	12.380797274
2.52	82.2736376153	11.8334504209
2.53	88.7313202858	11.270782465
2.54	94.8624484963	10.7008374135
2.55	100.666898226	10.1306759057
2.56	106.147996336	9.56632086397
2.57	111.311929181	9.01276304952
2.58	116.16717991	8.4740111226
2.59	120.724011629	7.95317169589
2.6	124.994006456	7.45254687823
2.61	128.989664757	6.97373931373
2.62	132.724064592	6.51775727076
2.63	136.210578462	6.08511464386
2.64	139.462642594	5.67592265883
2.65	142.493573044	5.28997157507
2.66	145.316422531	4.9268017837
2.67	147.943872025	4.58576446013
2.68	150.388151469	4.26607241374
2.69	152.660984545	3.96684205191
2.7	154.773552987	3.68712749923
2.71	156.736476562	3.42594793417
2.72	158.559805402	3.1823091607
2.73	160.253021938	2.95522035039
2.74	161.82505013	2.74370678921
2.75	163.284270133	2.54681935636
2.76	164.638536874	2.36364135838
2.77	165.895201336	2.19329324444
2.78	167.061133575	2.03493564197
2.79	168.142746727	1.88777107485
2.8	169.146021415	1.751044661
2.81	170.076530102	1.62404403024
2.82	170.939461068	1.5060986563
2.83	171.739641754	1.39657875844
2.84	172.481561305	1.29489389591
2.85	173.169392184	1.20049135238
2.86	173.807010779	1.11285438629
2.87	174.398016977	1.03150040609
2.88	174.945752663	0.955979115318
2.89	175.453319165	0.885870661634
2.9	175.92359365	0.820783815212
2.91	176.359244513	0.760354194888
2.92	176.762745774	0.704242555081
2.93	177.136390542	0.652133142256
2.94	177.48230357	0.603732126392
2.95	177.802452968	0.558766110377
2.96	178.098661101	0.516980718336
2.97	178.372614718	0.478139262429
2.98	178.625874375	0.442021486582
2.99	178.859883164	0.408422384828
3.0	179.075974821	0.3771510914
3.01	179.275381231	0.348029839314
3.02	179.459239367	0.32089298399
3.03	179.628597721	0.295586088291
3.04	179.784422225	0.271965065344
3.05	179.927601728	0.249895375491
3.06	180.058953033	0.2292512738
3.07	180.179225528	0.209915104636
3.08	180.289105449	0.191776639895
3.09	180.389219773	0.174732457644
3.1	180.480139785	0.158685358017
3.11	180.562384332	0.143543813357
3.12	180.636422769	0.129221449726
3.13	180.702677636	0.115636557031
3.14	180.761527062	0.102711625124
3.15	180.813306922	0.0903729033742
3.16	180.858312746	0.0785499812884
3.17	180.896801408	0.0671753878791
3.18	180.928992588	0.0561842075579
3.19	180.955070023	0.0455137104147
3.2	180.975182557	0.0351029948177
3.21	180.98944499	0.0248926403286
3.22	180.997938727	0.0148243689818
3.23	181.000712252	0.00484071301897
3.24	180.997781393	-0.00511531279667
3.25	180.989129423	-0.0151005361378
3.26	180.974706958	-0.0251719511795
3.27	180.954431675	-0.0353870436068
3.28	180.928187849	-0.045804118402
3.29	180.895825684	-0.056482632263
3.3	180.857160468	-0.0674835325286
3.31	180.811971513	-0.0788696045215
3.32	180.760000901	-0.0907058292606
3.33	180.700952012	-0.103059753551
3.34	180.634487834	-0.116001874515
